repo_name,owner,repo_url,description,language,topics,stars,updated_at,input,snapshot_id,snapshot_date,categories,primary_category
s60sc/ESP32-CAM_MJPEG2SD,s60sc,https://github.com/s60sc/ESP32-CAM_MJPEG2SD,,HTML,"['machine-learning', 'camera', 'rtsp', 'fpv', 'telegram-bot']",1702,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
gradio-app/gradio,gradio-app,https://github.com/gradio-app/gradio,,Python,"['python', 'data-science', 'machine-learning', 'ui', 'deep-learning']",43399,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
reunios2024/cortex-sentinel-trading-nexus,reunios2024,https://github.com/reunios2024/cortex-sentinel-trading-nexus,,HTML,"['python', 'machine-learning', 'reinforcement-learning', 'trading-bot', 'pytorch']",118,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,AI Agents|Core ML & Deep Learning,AI Agents
VectorInstitute/odyssey,VectorInstitute,https://github.com/VectorInstitute/odyssey,,Python,"['machine-learning', 'transformers', 'healthcare', 'electronic-health-record', 'state-space-models']",61,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval
screenpipe/screenpipe,screenpipe,https://github.com/screenpipe/screenpipe,,Rust,"['machine-learning', 'privacy', 'ai', 'computer-vision', 'mcp']",21155,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision
cyberlife-coder/VelesDB,cyberlife-coder,https://github.com/cyberlife-coder/VelesDB,,Rust,"['rust', 'search-engine', 'machine-learning', 'ai', 'embeddings']",87,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval
sdv-dev/SDV,sdv-dev,https://github.com/sdv-dev/SDV,,Python,"['machine-learning', 'deep-learning', 'time-series', 'generative-adversarial-network', 'gan']",3548,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning
onlyoneshakibul/magic-eraser-studio,onlyoneshakibul,https://github.com/onlyoneshakibul/magic-eraser-studio,,HTML,"['machine-learning', 'computer-vision', 'image-processing', 'image-editing', 'artificial-intelligence']",115,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision
skyportal/skyportal,skyportal,https://github.com/skyportal/skyportal,,Python,"['machine-learning', 'astronomy', 'lsst', 'collaborative-research', 'variable-stars']",130,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval
jaimasih05-commits/swarm-foraging-qlearn,jaimasih05-commits,https://github.com/jaimasih05-commits/swarm-foraging-qlearn,,HTML,"['python', 'machine-learning', 'reinforcement-learning', 'simulation', 'decision-making']",117,,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",raw_2026_08_21,2026-08-21,AI Agents|RAG & Retrieval|Core ML & Deep Learning,AI Agents
