repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date
ohdearquant/lionagi,ohdearquant,https://github.com/ohdearquant/lionagi,,Python,"[""workflow"",""data"",""machine-learning"",""automation"",""ai""]",404,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
reunios2024/cortex-sentinel-trading-nexus,reunios2024,https://github.com/reunios2024/cortex-sentinel-trading-nexus,,HTML,"[""python"",""machine-learning"",""reinforcement-learning"",""trading-bot"",""pytorch""]",118,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
mcmonkeyprojects/SwarmUI,mcmonkeyprojects,https://github.com/mcmonkeyprojects/SwarmUI,,C#,"[""javascript"",""python"",""machine-learning"",""ai"",""csharp""]",4467,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
pytorch/pytorch,pytorch,https://github.com/pytorch/pytorch,,Python,"[""python"",""machine-learning"",""deep-learning"",""neural-network"",""gpu""]",102466,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
onlyoneshakibul/magic-eraser-studio,onlyoneshakibul,https://github.com/onlyoneshakibul/magic-eraser-studio,,HTML,"[""machine-learning"",""computer-vision"",""image-processing"",""image-editing"",""artificial-intelligence""]",115,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
screenpipe/screenpipe,screenpipe,https://github.com/screenpipe/screenpipe,,Rust,"[""machine-learning"",""privacy"",""ai"",""computer-vision"",""mcp""]",21065,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
jaimasih05-commits/swarm-foraging-qlearn,jaimasih05-commits,https://github.com/jaimasih05-commits/swarm-foraging-qlearn,,HTML,"[""python"",""machine-learning"",""reinforcement-learning"",""simulation"",""decision-making""]",117,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
VectorInstitute/odyssey,VectorInstitute,https://github.com/VectorInstitute/odyssey,,Python,"[""machine-learning"",""transformers"",""healthcare"",""electronic-health-record"",""state-space-models""]",61,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
zapplyjobs/New-Grad-Data-Science-Jobs-2027,zapplyjobs,https://github.com/zapplyjobs/New-Grad-Data-Science-Jobs-2027,,HTML,"[""data-science"",""data"",""machine-learning"",""ai"",""jobs""]",69,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
Sujal-142/ai-image-clean-eraser,Sujal-142,https://github.com/Sujal-142/ai-image-clean-eraser,,HTML,"[""machine-learning"",""ocr"",""computer-vision"",""image-processing"",""image-editing""]",119,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
jube-home/aml-fraud-transaction-monitoring,jube-home,https://github.com/jube-home/aml-fraud-transaction-monitoring,,C#,"[""machine-learning"",""real-time"",""rule-engine"",""case-management"",""aml""]",99,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
supabase/supabase-py,supabase,https://github.com/supabase/supabase-py,,Python,"[""python"",""community"",""flask"",""postgres"",""data-science""]",2563,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
alvinreal/awesome-opensource-ai,alvinreal,https://github.com/alvinreal/awesome-opensource-ai,,Python,"[""open-source"",""machine-learning"",""awesome"",""ai"",""artificial-intelligence""]",4571,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
albumentations-team/AlbumentationsX,albumentations-team,https://github.com/albumentations-team/AlbumentationsX,,Python,"[""python"",""machine-learning"",""computer-vision"",""deep-learning"",""tensorflow""]",534,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
lutzroeder/netron,lutzroeder,https://github.com/lutzroeder/netron,,JavaScript,"[""machine-learning"",""ai"",""deep-learning"",""neural-network"",""tensorflow""]",33362,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
ncoevoet/facet,ncoevoet,https://github.com/ncoevoet/facet,,Python,"[""machine-learning"",""angular"",""computer-vision"",""deep-learning"",""photography""]",201,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
attevon-llc/OpenTranscribe,attevon-llc,https://github.com/attevon-llc/OpenTranscribe,,Python,"[""nlp"",""docker"",""open-source"",""machine-learning"",""ai""]",85,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
lightgbm-org/LightGBM,lightgbm-org,https://github.com/lightgbm-org/LightGBM,,C++,"[""python"",""machine-learning"",""data-mining"",""r"",""parallel""]",18696,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
janosh/pymatviz,janosh,https://github.com/janosh/pymatviz,,Python,"[""python"",""machine-learning"",""plots"",""plotly"",""data-visualization""]",328,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
huggingface/datasets,huggingface,https://github.com/huggingface/datasets,,Python,"[""nlp"",""machine-learning"",""natural-language-processing"",""ai"",""computer-vision""]",21840,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,,C++,"[""python"",""machine-learning"",""deep-neural-networks"",""deep-learning"",""neural-network""]",197042,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
VIAME/VIAME,VIAME,https://github.com/VIAME/VIAME,,Python,"[""open-source"",""tracking"",""machine-learning"",""computer-vision"",""deep-learning""]",336,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
nasa/ExoMiner,nasa,https://github.com/nasa/ExoMiner,,Python,"[""data-science"",""machine-learning"",""big-data"",""deep-learning"",""astronomy""]",85,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
PennyLaneAI/pennylane,PennyLaneAI,https://github.com/PennyLaneAI/pennylane,,Python,"[""python"",""machine-learning"",""deep-learning"",""neural-network"",""qml""]",3421,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
Mubelotix/SimRepo,Mubelotix,https://github.com/Mubelotix/SimRepo,,TypeScript,"[""github"",""git"",""recommendations"",""machine-learning"",""embeddings""]",321,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
cyberlife-coder/VelesDB,cyberlife-coder,https://github.com/cyberlife-coder/VelesDB,,Rust,"[""rust"",""search-engine"",""machine-learning"",""ai"",""embeddings""]",87,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
nmap/nmap,nmap,https://github.com/nmap/nmap,,C,"[""windows"",""linux"",""security"",""c-plus-plus"",""socket""]",13378,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
kubeflow/pipelines,kubeflow,https://github.com/kubeflow/pipelines,,Python,"[""kubernetes"",""data-science"",""machine-learning"",""pipeline"",""kubeflow""]",4187,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
Comfy-Org/ComfyUI_frontend,Comfy-Org,https://github.com/Comfy-Org/ComfyUI_frontend,,TypeScript,"[""machine-learning"",""generative-ai""]",1970,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
benchopt/benchopt,benchopt,https://github.com/benchopt/benchopt,,Python,"[""python"",""benchmark"",""machine-learning"",""optimization"",""julia-language""]",327,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
gradio-app/gradio,gradio-app,https://github.com/gradio-app/gradio,,Python,"[""python"",""data-science"",""machine-learning"",""ui"",""deep-learning""]",43377,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
insight-platform/Savant,insight-platform,https://github.com/insight-platform/Savant,,Python,"[""opencv"",""machine-learning"",""video"",""computer-vision"",""deep-learning""]",848,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
mlcommons/mlperf_client,mlcommons,https://github.com/mlcommons/mlperf_client,,C++,"[""benchmarking"",""machine-learning"",""ml""]",87,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
xorbitsai/inference,xorbitsai,https://github.com/xorbitsai/inference,,Python,"[""machine-learning"",""deployment"",""inference"",""pytorch"",""artificial-intelligence""]",9502,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
mlr-org/mlr3,mlr-org,https://github.com/mlr-org/mlr3,,R,"[""data-science"",""machine-learning"",""r"",""regression"",""classification""]",1079,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
skrub-data/skrub,skrub-data,https://github.com/skrub-data/skrub,,Python,"[""data-science"",""data"",""machine-learning"",""data-analysis"",""data-wrangling""]",1648,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
kedro-org/kedro,kedro-org,https://github.com/kedro-org/kedro,,Python,"[""python"",""machine-learning"",""data-pipelines"",""hacktoberfest"",""machine-learning-engineering""]",10954,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
AgileRL/AgileRL,AgileRL,https://github.com/AgileRL/AgileRL,,Python,"[""python"",""training"",""machine-learning"",""reinforcement-learning"",""deep-learning""]",944,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
sstklen/trump-code,sstklen,https://github.com/sstklen/trump-code,,Python,"[""machine-learning"",""trump"",""ai"",""prediction"",""open-data""]",794,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
nautechsystems/nautilus_trader,nautechsystems,https://github.com/nautechsystems/nautilus_trader,,Rust,"[""python"",""rust"",""machine-learning"",""trading"",""forex""]",26230,,https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc,topic:machine-learning stars:>50,15,,,,,raw_2026_08_19,2026-08-19
