repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date,categories,primary_category,input,snapshot_dt,stars_prev,star_growth,star_growth_rate,momentum_score,signal
rocketride-org/rocketride-server,rocketride-org,https://github.com/rocketride-org/rocketride-server,,Python,"['python', 'machine-learning', 'typescript', 'sdk', 'ai']",6953,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,6519.0,434,6.66,81.1,🔥 BREAKOUT
nautechsystems/nautilus_trader,nautechsystems,https://github.com/nautechsystems/nautilus_trader,,Rust,"['python', 'rust', 'machine-learning', 'trading', 'forex']",27000,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,26230.0,770,2.94,80.2,🔥 BREAKOUT
MakazhanAlpamys/Soup,MakazhanAlpamys,https://github.com/MakazhanAlpamys/Soup,,Python,"['python', 'cli', 'machine-learning', 'transformers', 'pytorch']",2635,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,2410.0,225,9.34,77.6,🔥 BREAKOUT
DashAISoftware/dashAI,DashAISoftware,https://github.com/DashAISoftware/dashAI,,Python,"['machine-learning', 'deep-learning', 'artificial-intelligence', 'workbench']",428,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,398.0,30,7.54,55.8,⚡ ACCELERATING
huggingface/speech-to-speech,huggingface,https://github.com/huggingface/speech-to-speech,,Python,"['python', 'machine-learning', 'ai', 'speech', 'speech-synthesis']",12741,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,12645.0,96,0.76,51.4,⚡ ACCELERATING
tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,,C++,"['python', 'machine-learning', 'deep-neural-networks', 'deep-learning', 'neural-network']",197220,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,197067.0,153,0.08,51.1,⚡ ACCELERATING
qdrant/qdrant,qdrant,https://github.com/qdrant/qdrant,,Rust,"['search', 'search-engine', 'machine-learning', 'neural-network', 'nearest-neighbor-search']",34115,,,,,,,,,raw_2026_08_21,2026-08-21,RAG & Retrieval|Core ML & Deep Learning,RAG & Retrieval,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,34047.0,68,0.2,44.2,⚡ ACCELERATING
ultralytics/ultralytics,ultralytics,https://github.com/ultralytics/ultralytics,,Python,"['python', 'tracking', 'machine-learning', 'computer-vision', 'deep-learning']",60838,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,60770.0,68,0.11,43.4,⚡ ACCELERATING
paperless-ngx/paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,,Python,"['pdf', 'machine-learning', 'django', 'angular', 'ocr']",44470,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,44412.0,58,0.13,42.0,⚡ ACCELERATING
screenpipe/screenpipe,screenpipe,https://github.com/screenpipe/screenpipe,,Rust,"['machine-learning', 'privacy', 'ai', 'computer-vision', 'mcp']",21155,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",2026-08-21,21110.0,45,0.21,40.2,⚡ ACCELERATING
